Nome,Número,Coleção,Idioma,Estado,Ano,Tipo,Link Liga,Link MYP,Link Cardmarket,Link Tcgplayer,Link PriceCharting,Minimo,Venda Rapida,Menor Liga,Preço,Quantidade
Magnezone V-ASTRO,057/196,Origem Perdida,Português (PT-BR),NM,2022,V-ASTRO,https://www.ligapokemon.com.br/?view=cards/card&card=Magnezone-VSTAR%20(057/196)&ed=LOR&num=057,https://mypcards.com/pokemon/produto/167863/magnezone-v-astro,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Magnezone-VSTAR-V1-LOR057,https://www.tcgplayer.com/product/283931?page=1&Language=English,https://www.pricecharting.com/game/pokemon-lost-origin/magnezone-vstar-57,"4,5",,7,,1
Drapion V-ASTRO,119/196,Origem Perdida,Português (PT-BR),NM,2022,V-ASTRO,https://www.ligapokemon.com.br/?view=cards/card&card=Drapion-VSTAR%20(119/196)&ed=LOR&num=119,https://mypcards.com/pokemon/produto/167925/drapion-v-astro,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Drapion-VSTAR-V1-LOR119,https://www.tcgplayer.com/product/284021?page=1&Language=English,https://www.pricecharting.com/game/pokemon-lost-origin/drapion-vstar-119,"2,8",,7,,1
Giratina V,186/196,Origem Perdida,Português (PT-BR),NM,2022,V — Arte Alternativa,https://www.ligapokemon.com.br/?view=cards/card&card=Giratina%20V%20%28186/196%29&show=1&ed=LOR&num=186,https://mypcards.com/pokemon/produto/167992/giratina-v,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Giratina-V-V3-LOR186,https://www.tcgplayer.com/product/284137?page=1&Language=English,https://www.pricecharting.com/game/pokemon-lost-origin/giratina-v-186,"2733,5",,3850,,1
Giratina V-ASTRO,111/172,VSTAR Universe (S12a),Japonês,NM,2022,V-ASTRO — Japonês,https://www.ligapokemon.com.br/?view=cards/card&card=Giratina+-VSTAR%20(111/172)&ed=s12a&num=111,https://mypcards.com/pokemon/produto/202718/giratina-v-astro,https://www.cardmarket.com/en/Pokemon/Products/Singles/VSTAR-Universe/Giratina-VSTAR-V1-s12a111,https://www.tcgplayer.com/product/571649?page=1&Language=Japanese,https://www.pricecharting.com/game/pokemon-japanese-vstar-universe/giratina-vstar-111,"10,6",,19,,1
Giratina V-ASTRO,131/196,Origem Perdida,Português (PT-BR),NM,2022,V-ASTRO,https://www.ligapokemon.com.br/?view=cards/card&card=Giratina%20VSTAR%20%28131/196%29&show=1&ed=LOR&num=131,https://mypcards.com/pokemon/produto/167937/giratina-v-astro,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Giratina-VSTAR-V1-LOR131,https://www.tcgplayer.com/product/284051?page=1&Language=English,https://www.pricecharting.com/game/pokemon-lost-origin/giratina-vstar-131,"12,4",,"17,5",,1
Zeraora V-ASTRO,SWSH265,Espada e Escudo — Promos,Português (PT-BR),NM,2022,V-ASTRO — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Zeraora-VSTAR%20(SWSH265/71)&ed=SSPR&srsltid=AfmBOoo6m35QyC9AUlzHTxc_pTVGCi1bSDHQ3GFSjGvC2SOWxipT-t5D,https://mypcards.com/pokemon/produto/175704/zeraora-vstar,https://www.cardmarket.com/en/Pokemon/Products/Singles/SWSH-Black-Star-Promos/Zeraora-VSTAR-V1-SWSH265,https://www.tcgplayer.com/product/449520?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/zeraora-vstar-swsh265,"11,4",,16,,1
Deoxys V-ASTRO,SWSH268,Espada e Escudo — Promos,Português (PT-BR),NM,2022,V-ASTRO — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Deoxys%20VSTAR%20%28SWSH268%29&show=1&ed=SWSHP&num=SWSH268,https://mypcards.com/pokemon/produto/175707/deoxys-vstar,https://www.cardmarket.com/en/Pokemon/Products/Singles/SWSH-Black-Star-Promos/Deoxys-VSTAR-V1-SWSH268,https://www.tcgplayer.com/product/449523?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/deoxys-vstar-swsh268,"8,4",,10,,1
Unown V-ASTRO,066/195,Tempestade Prateada,Português (PT-BR),NM,2022,V-ASTRO,https://www.ligapokemon.com.br/?view=cards/card&card=Unown%20VSTAR%20%28066/195%29&show=1&ed=SIT&num=066,https://mypcards.com/pokemon/produto/174823/unown-v-astro,https://www.cardmarket.com/en/Pokemon/Products/Singles/Silver-Tempest/Unown-VSTAR-V1-SIT066,https://www.tcgplayer.com/product/451720?page=1&Language=English,https://www.pricecharting.com/game/pokemon-silver-tempest/unown-vstar-66,7,,10,,1
Spidops ex,243/198,Escarlate e Violeta,Português (PT-BR),NM,2023,ex — Ilustração Rara Especial,https://www.ligapokemon.com.br/?view=cards/card&card=Spidops%20ex%20%28243/198%29&show=1&ed=SV1&num=243,https://mypcards.com/pokemon/produto/185047/spidops-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Scarlet-Violet/Spidops-ex-V3-SVI243,https://www.tcgplayer.com/product/487147?page=1&Language=English,https://www.pricecharting.com/game/pokemon-scarlet-&-violet/spidops-ex-243,56,,89,,1
Chien-Pao ex,261/193,Evoluções em Paldea,Português (PT-BR),NM,2023,ex — Ilustração Rara Especial,https://www.ligapokemon.com.br/?view=cards/card&card=Chien-Pao+ex%20(261/193)&show=10,https://mypcards.com/pokemon/produto/193196/chien-pao-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Chien-Pao-ex-V3-PAL261,https://www.tcgplayer.com/product/497680?page=1&Language=English,https://www.pricecharting.com/game/pokemon-paldea-evolved/chien-pao-ex-261,"98,7",,110,,1
